problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,clustering_algo,num_partitions,size_of_largest_partition,partition_runtime,num_paths,edge_disjoint,dist_metric,iteration,obj_val,runtime,r1_runtime,r2_runtime,recon_runtime,r3_runtime,kirchoffs_runtime
Colt.graphml,153,354,1425803190,poisson,4.0,11772,60897.6640625,ncflow_edge_per_iter,fm_partitioning,36,11,0.004964,4,True,inv-cap,0,60897.65670235369,0.02372455596923828,0.0013840198516845703,0.0074689388275146484,0.0011677742004394531,0.006215095520019531,0.007488727569580078
Colt.graphml,153,354,1945077275,poisson,4.0,11779,60898.62109375,ncflow_edge_per_iter,fm_partitioning,36,11,0.004876,4,True,inv-cap,0,60898.61267405338,0.028211355209350586,0.0014309883117675781,0.0070688724517822266,0.0010981559753417969,0.011214971542358398,0.007398366928100586
Colt.graphml,153,354,1449057126,poisson,2.0,11778,30448.994140625,ncflow_edge_per_iter,fm_partitioning,36,11,0.004586,4,True,inv-cap,0,30448.98200036551,0.025960445404052734,0.0015189647674560547,0.0066640377044677734,0.001096963882446289,0.009498119354248047,0.00718235969543457
Colt.graphml,153,354,1880272062,poisson,2.0,11793,30448.8359375,ncflow_edge_per_iter,fm_partitioning,36,11,0.005071,4,True,inv-cap,0,30448.82357628909,0.024934053421020508,0.00138092041015625,0.008810043334960938,0.0011212825775146484,0.007097959518432617,0.006523847579956055
Colt.graphml,153,354,1593050004,poisson,1.0,11790,15224.599609375,ncflow_edge_per_iter,fm_partitioning,36,11,0.004942,4,True,inv-cap,0,15224.590598812014,0.02501225471496582,0.0015790462493896484,0.009464025497436523,0.0011289119720458984,0.005702972412109375,0.007137298583984375
Colt.graphml,153,354,1948266490,poisson,1.0,11778,15224.73828125,ncflow_edge_per_iter,fm_partitioning,36,11,0.005006,4,True,inv-cap,0,15224.730996101713,0.0314180850982666,0.001447916030883789,0.006990909576416016,0.0011208057403564453,0.014075040817260742,0.007783412933349609
Colt.graphml,153,354,1752869944,poisson,64.0,11782,974357.75,ncflow_edge_per_iter,fm_partitioning,36,11,0.004991,4,True,inv-cap,0,354000.0,0.013657569885253906,0.0017039775848388672,0.002331972122192383,0.0009920597076416016,0.007622957229614258,0.0010066032409667969
Colt.graphml,153,354,1876248036,poisson,64.0,11762,974336.1875,ncflow_edge_per_iter,fm_partitioning,36,11,0.004988,4,True,inv-cap,0,354000.0,0.013148784637451172,0.0015571117401123047,0.002331972122192383,0.0009617805480957031,0.007364034652709961,0.0009338855743408203
Colt.graphml,153,354,1686367964,poisson,128.0,11736,1948746.25,ncflow_edge_per_iter,fm_partitioning,36,11,0.003999,4,True,inv-cap,0,354000.0,0.013579368591308594,0.0016448497772216797,0.0024509429931640625,0.0008919239044189453,0.007637977600097656,0.00095367431640625
Colt.graphml,153,354,1712887538,poisson,128.0,11780,1948710.5,ncflow_edge_per_iter,fm_partitioning,36,11,0.004965,4,True,inv-cap,0,354000.0,0.012879371643066406,0.0015590190887451172,0.0022559165954589844,0.0009748935699462891,0.007120847702026367,0.0009686946868896484
Colt.graphml,153,354,2028106250,poisson,32.0,11748,487186.65625,ncflow_edge_per_iter,fm_partitioning,36,11,0.004653,4,True,inv-cap,0,354000.0,0.012765169143676758,0.0016820430755615234,0.0022079944610595703,0.0009467601776123047,0.006979942321777344,0.0009484291076660156
Colt.graphml,153,354,2051675095,poisson,32.0,11770,487183.96875,ncflow_edge_per_iter,fm_partitioning,36,11,0.004707,4,True,inv-cap,0,354000.0,0.014036417007446289,0.0016560554504394531,0.0019190311431884766,0.0008869171142578125,0.008669853210449219,0.0009045600891113281
Colt.graphml,153,354,1228227765,poisson,8.0,11759,121795.890625,ncflow_edge_per_iter,fm_partitioning,36,11,0.004636,4,True,inv-cap,0,121795.89235175194,0.029573440551757812,0.0015320777893066406,0.007328987121582031,0.0011489391326904297,0.011697053909301758,0.007866382598876953
Colt.graphml,153,354,1685738665,poisson,8.0,11762,121797.6484375,ncflow_edge_per_iter,fm_partitioning,36,11,0.004954,4,True,inv-cap,0,121797.64672920009,0.03301692008972168,0.0014450550079345703,0.007090091705322266,0.0010492801666259766,0.016047954559326172,0.007384538650512695
Colt.graphml,153,354,2114300095,poisson,2.0,23256,1974.2503662109375,ncflow_edge_per_iter,fm_partitioning,36,11,0.00511,4,True,inv-cap,0,1974.250336812809,0.03354334831237793,0.0018799304962158203,0.010337114334106445,0.0011761188507080078,0.00943303108215332,0.010717153549194336
Colt.graphml,153,354,392472174,poisson,2.0,23256,1976.115966796875,ncflow_edge_per_iter,fm_partitioning,36,11,0.005046,4,True,inv-cap,0,1976.115947427228,0.03837156295776367,0.001992940902709961,0.010071992874145508,0.0012421607971191406,0.014373064041137695,0.010691404342651367
Colt.graphml,153,354,1461046291,poisson,8.0,23256,7901.90283203125,ncflow_edge_per_iter,fm_partitioning,36,11,0.00495,4,True,inv-cap,0,7891.893287569284,0.037873268127441406,0.0023009777069091797,0.01070094108581543,0.0012197494506835938,0.013014078140258789,0.010637521743774414
Colt.graphml,153,354,584086235,poisson,8.0,23256,7896.865234375,ncflow_edge_per_iter,fm_partitioning,36,11,0.004705,4,True,inv-cap,0,7886.903877004981,0.03542828559875488,0.002134084701538086,0.00922393798828125,0.0011606216430664062,0.012619972229003906,0.010289669036865234
Colt.graphml,153,354,585784232,poisson,32.0,23256,31613.66015625,ncflow_edge_per_iter,fm_partitioning,36,11,0.004604,4,True,inv-cap,0,19839.948244601488,0.027625083923339844,0.0054779052734375,0.004292011260986328,0.0011281967163085938,0.009947061538696289,0.006779909133911133
Colt.graphml,153,354,585784232,poisson,32.0,23256,31613.66015625,ncflow_edge_per_iter,fm_partitioning,36,11,0.004604,4,True,inv-cap,1,700.9123541142552,0.014133930206298828,0.003907918930053711,0.0007259845733642578,0.0009491443634033203,0.00766301155090332,0.0008878707885742188
Colt.graphml,153,354,618860969,poisson,32.0,23256,31604.3984375,ncflow_edge_per_iter,fm_partitioning,36,11,0.004609,4,True,inv-cap,0,19834.52852278948,0.0312502384185791,0.006819009780883789,0.0044138431549072266,0.0010242462158203125,0.012588024139404297,0.0064051151275634766
Colt.graphml,153,354,618860969,poisson,32.0,23256,31604.3984375,ncflow_edge_per_iter,fm_partitioning,36,11,0.004609,4,True,inv-cap,1,684.1538910575238,0.01598501205444336,0.003910064697265625,0.000804901123046875,0.0008411407470703125,0.009602069854736328,0.0008268356323242188
Colt.graphml,153,354,1443340436,poisson,128.0,23256,126424.1875,ncflow_edge_per_iter,fm_partitioning,36,11,0.004951,4,True,inv-cap,0,45795.142033815384,0.025583744049072266,0.009016036987304688,0.0027649402618408203,0.0008568763732910156,0.009747028350830078,0.003198862075805664
Colt.graphml,153,354,1443340436,poisson,128.0,23256,126424.1875,ncflow_edge_per_iter,fm_partitioning,36,11,0.004951,4,True,inv-cap,1,813.3366223543559,0.025292634963989258,0.00841379165649414,0.001035928726196289,0.0010712146759033203,0.01393890380859375,0.0008327960968017578
Colt.graphml,153,354,1712264344,poisson,128.0,23256,126400.734375,ncflow_edge_per_iter,fm_partitioning,36,11,0.005101,4,True,inv-cap,0,45997.073311805725,0.030199050903320312,0.011342048645019531,0.002749204635620117,0.0009350776672363281,0.012125968933105469,0.003046751022338867
Colt.graphml,153,354,1712264344,poisson,128.0,23256,126400.734375,ncflow_edge_per_iter,fm_partitioning,36,11,0.005101,4,True,inv-cap,1,803.1204147338867,0.01992654800415039,0.007947921752929688,0.0007739067077636719,0.0008487701416015625,0.009716033935546875,0.0006399154663085938
Colt.graphml,153,354,1778203363,poisson,4.0,23256,3950.062255859375,ncflow_edge_per_iter,fm_partitioning,36,11,0.00466,4,True,inv-cap,0,3950.0620946884155,0.03564119338989258,0.0016422271728515625,0.008939981460571289,0.0011088848114013672,0.014275074005126953,0.009675025939941406
