problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
Cogentco.graphml,197,486,1175139186,poisson,4.0,38612,6111.806640625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.026757001876831055
Cogentco.graphml,197,486,1391425892,poisson,64.0,38612,98009.1875,pop,random,0,16,4,True,inv-cap,mcf,0.15575408435589905,0.23871779441833496
Cogentco.graphml,197,486,1144845239,poisson,1.0,38612,1527.82861328125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.026131153106689453
Cogentco.graphml,197,486,113766835,poisson,2.0,38612,3054.970703125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.0193479061126709
Colt.graphml,153,354,1108214735,gravity,16.0,23256,11981.1484375,pop,random,0,16,4,True,inv-cap,mcf,0.5544889942575377,0.06366991996765137
Colt.graphml,153,354,1002058247,gravity,32.0,23254,24040.171875,pop,random,0,16,4,True,inv-cap,mcf,0.29851245374350277,0.07551693916320801
Colt.graphml,153,354,1117579738,gravity,2.0,23256,1498.8203125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.009936094284057617
Colt.graphml,153,354,1141211829,gravity,128.0,23256,95814.359375,pop,random,0,16,4,True,inv-cap,mcf,0.07450508592160322,0.0665438175201416
Colt.graphml,153,354,1041669110,gravity,1.0,23255,752.0161743164062,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.010915994644165039
Colt.graphml,153,354,1111060477,gravity,4.0,23255,3001.22509765625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.01028895378112793
Colt.graphml,153,354,1200865651,gravity,64.0,23256,47867.94921875,pop,random,0,16,4,True,inv-cap,mcf,0.14078459586663533,0.05309486389160156
Colt.graphml,153,354,121297824,gravity,8.0,23256,6007.76416015625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.02621603012084961
Colt.graphml,153,354,111046807,poisson,16.0,11714,243590.75,pop,random,0.75,16,4,True,inv-cap,mcf,0.3314299908457278,0.020835161209106445
Colt.graphml,153,354,14200283,poisson,4.0,11708,60897.58984375,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.019921064376831055
Colt.graphml,153,354,1240494465,poisson,2.0,11744,30449.27734375,pop,random,0.75,16,4,True,inv-cap,mcf,0.999999985283534,0.01618504524230957
Colt.graphml,153,354,1525703876,poisson,1.0,11728,15224.541015625,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.009910821914672852
Colt.graphml,153,354,1243630499,poisson,64.0,11797,974382.8125,pop,random,0.75,16,4,True,inv-cap,mcf,0.07879234625775129,0.04528093338012695
Colt.graphml,153,354,1179616255,poisson,128.0,11751,1948754.625,pop,random,0.75,16,4,True,inv-cap,mcf,0.031899851789577965,0.03946805000305176
Colt.graphml,153,354,1007510484,poisson,32.0,11728,487193.65625,pop,random,0.75,16,4,True,inv-cap,mcf,0.16175910324808182,0.02410721778869629
Colt.graphml,153,354,1082657135,poisson,8.0,11762,121794.578125,pop,random,0.75,16,4,True,inv-cap,mcf,0.6471691553833085,0.020496129989624023
Colt.graphml,153,354,1146461578,uniform,64.0,23256,48369.71484375,pop,random,0,16,4,True,inv-cap,mcf,0.11869322855290547,0.06532812118530273
Colt.graphml,153,354,1005621479,uniform,8.0,23256,6040.21875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.029258012771606445
Colt.graphml,153,354,1148828272,uniform,4.0,23256,3039.8740234375,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.010549068450927734
Colt.graphml,153,354,1128463094,uniform,32.0,23256,24224.400390625,pop,random,0,16,4,True,inv-cap,mcf,0.2439750543955082,0.0683438777923584
Colt.graphml,153,354,1690350634,uniform,16.0,23256,12079.08203125,pop,random,0,16,4,True,inv-cap,mcf,0.48137546883444193,0.05949807167053223
Colt.graphml,153,354,1408971662,uniform,2.0,23256,1506.55029296875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.013873100280761719
Colt.graphml,153,354,1754978910,uniform,1.0,23256,757.6119384765625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.010194063186645508
Colt.graphml,153,354,1152615550,uniform,128.0,23256,96129.5625,pop,random,0,16,4,True,inv-cap,mcf,0.06588691598040303,0.053090810775756836
Colt.graphml,153,354,11195060,bimodal,32.0,23256,24256.418312338792,pop,random,0,16,4,True,inv-cap,mcf,0.2344531634125657,0.06162405014038086
Colt.graphml,153,354,1563448006,bimodal,64.0,23256,48495.14663810048,pop,random,0,16,4,True,inv-cap,mcf,0.11983567592987615,0.0866689682006836
Colt.graphml,153,354,1774035308,bimodal,2.0,23256,1517.3430723096487,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.018578052520751953
Colt.graphml,153,354,1154072128,bimodal,1.0,23256,755.1635664578362,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.013009786605834961
Colt.graphml,153,354,1358587428,bimodal,16.0,23256,12124.867597018852,pop,random,0,16,4,True,inv-cap,mcf,0.47435806995903024,0.05137991905212402
Colt.graphml,153,354,1186988402,bimodal,8.0,23256,6078.865363003848,pop,random,0,16,4,True,inv-cap,mcf,0.9916752362722087,0.024682998657226562
Colt.graphml,153,354,10912432,bimodal,4.0,23256,2963.8268968222374,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.013030052185058594
Colt.graphml,153,354,1059470809,bimodal,128.0,23256,96819.41277529235,pop,random,0,16,4,True,inv-cap,mcf,0.06256397048632815,0.07523298263549805
Colt.graphml,153,354,1497988131,poisson,2.0,23256,1973.890380859375,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.010316848754882812
Colt.graphml,153,354,1288694355,poisson,8.0,23256,7902.39111328125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.022706031799316406
Colt.graphml,153,354,511704445,poisson,32.0,23256,31597.24609375,pop,random,0,16,4,True,inv-cap,mcf,0.2762155915581521,0.06597399711608887
Colt.graphml,153,354,1143481924,poisson,128.0,23256,126450.890625,pop,random,0,16,4,True,inv-cap,mcf,0.06534533249730838,0.06096506118774414
Colt.graphml,153,354,1483102118,poisson,4.0,23256,3950.5556640625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.00980997085571289
Colt.graphml,153,354,1363618620,poisson,1.0,23256,987.47216796875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.009604215621948242
Colt.graphml,153,354,1192860264,poisson,64.0,23256,63213.03125,pop,random,0,16,4,True,inv-cap,mcf,0.13146115373108924,0.08514404296875
Colt.graphml,153,354,1600030150,poisson,16.0,23256,15803.802734375,pop,random,0,16,4,True,inv-cap,mcf,0.5342031751573106,0.06858181953430176
TataNld.graphml,145,372,1555020805,gravity,8.0,20879,8022.689453125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.030817031860351562
TataNld.graphml,145,372,1180050477,gravity,64.0,20879,64033.0,pop,random,0,16,4,True,inv-cap,mcf,0.21070580662180086,0.2194230556488037
TataNld.graphml,145,372,11412112,gravity,4.0,20880,4000.65478515625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.011703968048095703
TataNld.graphml,145,372,1628983645,gravity,16.0,20879,16029.232421875,pop,random,0,16,4,True,inv-cap,mcf,0.8066875034570048,0.15517306327819824
TataNld.graphml,145,372,1257688362,gravity,2.0,20880,2004.56640625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.015241861343383789
TataNld.graphml,145,372,1148601493,gravity,1.0,20880,1002.2694091796875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.01190185546875
TataNld.graphml,145,372,1004732208,gravity,32.0,20879,31985.919921875,pop,random,0,16,4,True,inv-cap,mcf,0.41311489161476234,0.14121603965759277
TataNld.graphml,145,372,1093445293,gravity,128.0,20880,127946.40625,pop,random,0,16,4,True,inv-cap,mcf,0.10741137147798667,0.2222440242767334
TataNld.graphml,145,372,1049066647,poisson,1.0,10517,24677.98828125,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.017528772354125977
TataNld.graphml,145,372,1019158999,poisson,128.0,10507,3158806.25,pop,random,0.75,16,4,True,inv-cap,mcf,0.04178198208161259,0.05045509338378906
TataNld.graphml,145,372,1300591861,poisson,2.0,10569,49356.3359375,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.02745819091796875
TataNld.graphml,145,372,1338487316,poisson,8.0,10516,197423.4375,pop,random,0.75,16,4,True,inv-cap,mcf,0.6678229837818391,0.0554051399230957
TataNld.graphml,145,372,1222029913,poisson,64.0,10520,1579402.875,pop,random,0.75,16,4,True,inv-cap,mcf,0.07944720567375001,2.053602933883667
TataNld.graphml,145,372,112056917,poisson,32.0,10521,789695.25,pop,random,0.75,16,4,True,inv-cap,mcf,0.1594146842541812,0.06849002838134766
